,carlsen,chess,tournament,wins,championship,rapid,blitz,classical,win,world
the game of chess itself?,False,True,False,False,False,False,False,False,False,False
"""Vladimir Kramnik: 'I like playing chess now probably more than ever' "".",False,True,False,False,False,False,False,False,False,False
chess server Playchess.com .,False,True,False,False,False,False,False,False,False,False
Another tournament victory was achieved in the Tal Memorial in Moscow 1625 November as a round robin with ten players.,False,False,True,False,False,False,False,False,False,False
"Just before he was going to show his win over Hikaru Nakamura, Carlsen was asked about his chances to win overall.",False,False,False,False,False,False,False,False,True,False
"^ ""World Champion Carlsen wins Tata Steel Chess Tournament 2022"" .",False,False,False,True,False,False,False,False,True,False
"He asks us at certain points to figure out what move comes next, and then he sips wine and stares at the board, while the rest of us rack our brains or sit there hopelessly.",False,False,False,False,False,False,False,False,True,False
The tournament was won by Kramnik with 4/6.,False,False,True,False,False,False,False,False,False,False
Each panel member was allowed three chances to let chess engine Houdini propose a move during the game.,False,True,False,False,False,False,False,False,False,False
"In the second half of the tournament, Carlsen scored 4/5, beating Mamedyarov and Nakamura again, and securing the tournament victory by beating Caruana in the final round, finishing with +52=3.",False,False,True,False,False,False,False,False,False,False
"^ a b ""Nanjing: Carlsen wins Pearl Spring with 3002 performance"" .",False,False,False,True,False,False,False,False,True,False
There is a world beyond chess and I am looking forward to exploring it.,False,True,False,False,False,False,False,False,False,True
Blindfold chess.,False,True,False,False,False,False,False,False,False,False
"However, Aronian's two wins were against Ivanchuk and Svidler, who both had better results than Gelfand and Nakamura (Carlsen's two victims).",False,False,False,True,False,False,False,False,True,False
The following script does not vary between modern & legacy browsers.,False,False,False,False,False,False,False,False,True,False
"Other people are winning, but not against him.",False,False,False,False,False,False,False,False,True,False
[51] He achieved a 20 win over Viswanathan Anand in the semi-finals and achieved the same score in the finals.,False,False,False,False,False,False,False,False,True,False
Maybe it was important for Karpov to win many tournaments since his title came by default; made him a bastard to the Steintz blood-line of champions since he hadn't dethroned Fischer in battle.,False,False,True,False,False,False,False,False,True,False
Just moving the pieces around helped everyone improve their understanding of chess so much.,False,True,False,False,False,False,False,False,False,False
"In the end, Carlsens true legacy will be the effect Kasparov described  he became a global ambassador to chess and, with his international renown, helped bring it into mainstream popular culture .",False,True,False,False,False,False,False,False,False,False
"In one of the finest performances ever by an American, Hikaru Nakamura finished ahead of the worlds top four players, including Viswanathan Anand, the world champion.",False,False,False,False,False,False,False,False,False,True
"I think at amateur tournaments, open tournaments, people should be allowed to do whatever they want.",False,False,True,False,False,False,False,False,False,False
It more or less confirms what I thought or speculated: the winner on tiebreak... (558).,False,False,False,False,False,False,False,False,True,False
Fritz offers you everything you will need as a dedicated chess enthusiast.,False,True,False,False,False,False,False,False,False,False
